FLOW,RAINFALL,RF_YN,TIME
51.9,0,0,1/01/1978
51.3,126.1,1,1/02/1978
48.6,46.8,1,1/03/1978
96.6,19.7,1,1/04/1978
107,64.4,1,1/05/1978
147,36.8,1,1/06/1978
105,0.9,1,1/07/1978
86.2,2.9,1,1/08/1978
77.4,13.4,1,1/09/1978
95,65.6,1,1/10/1978
161,46.3,1,1/11/1978
128,4.9,1,1/12/1978
102,0,0,1/13/1978
89.4,0,0,1/14/1978
81.4,0.1,1,1/15/1978
75.8,0.2,1,1/16/1978
71.8,0,0,1/17/1978
68.6,2.7,1,1/18/1978
70.2,0.1,1,1/19/1978
67.8,0.5,1,1/20/1978
64.6,1.2,1,1/21/1978
63.8,0,0,1/22/1978
60.9,0,0,1/23/1978
58.1,0,0,1/24/1978
56,0,0,1/25/1978
54.6,0,0,1/26/1978
53.3,0,0,1/27/1978
51.9,0,0,1/28/1978
51.3,0.9,1,1/29/1978
51.3,0,0,1/30/1978
59.5,0,0,1/31/1978
56.7,14,1,2/01/1978
54,3.1,1,2/02/1978
54,3.4,1,2/03/1978
51.9,0,0,2/04/1978
48.6,0,0,2/05/1978
47.3,0.1,1,2/06/1978
46,0.1,1,2/07/1978
44.7,0.2,1,2/08/1978
44.1,0.2,1,2/09/1978
43.4,0.2,1,2/10/1978
42.2,0,0,2/11/1978
40.9,0,0,2/12/1978
40.9,0.1,1,2/13/1978
40.9,0.1,1,2/14/1978
40.9,2.8,1,2/15/1978
40.9,3.8,1,2/16/1978
40.9,0.9,1,2/17/1978
40.9,0,0,2/18/1978
40.9,0,0,2/19/1978
38.5,1.1,1,2/20/1978
38.5,0,0,2/21/1978
38.5,0.3,1,2/22/1978
38.5,0,0,2/23/1978
38.5,0,0,2/24/1978
38.5,0.3,1,2/25/1978
39.7,18.4,1,2/26/1978
56,17.7,1,2/27/1978
55.3,0.3,1,2/28/1978
42.2,0,0,3/01/1978
39.7,0,0,3/02/1978
38.5,0,0,3/03/1978
39.7,0,0,3/04/1978
41.6,0.1,1,3/05/1978
36,0,0,3/06/1978
37.2,0,0,3/07/1978
36,0,0,3/08/1978
39.7,16,1,3/09/1978
39.7,3.9,1,3/10/1978
40.3,0.3,1,3/11/1978
32.9,0,0,3/12/1978
34.7,0,0,3/13/1978
56,0,0,3/14/1978
97.4,0.8,1,3/15/1978
50,0.3,1,3/16/1978
40.9,20.4,1,3/17/1978
38.5,1.4,1,3/18/1978
56,58.7,1,3/19/1978
68.6,5.7,1,3/20/1978
120,25.6,1,3/21/1978
51.3,34.2,1,3/22/1978
63.8,1.2,1,3/23/1978
50.9,0,0,3/24/1978
44.7,0.2,1,3/25/1978
42.2,0,0,3/26/1978
39.1,0,0,3/27/1978
37.2,0,0,3/28/1978
36,0,0,3/29/1978
36,0,0,3/30/1978
34.7,0,0,3/31/1978
33.5,0,0,4/01/1978
32.3,0,0,4/02/1978
31.1,0,0,4/03/1978
30.5,0,0,4/04/1978
30,0,0,4/05/1978
29,0,0,4/06/1978
28,0,0,4/07/1978
29,0,0,4/08/1978
28,0,0,4/09/1978
34.7,0,0,4/10/1978
31.1,0,0,4/11/1978
29,0,0,4/12/1978
28,7.5,1,4/13/1978
30,6.8,1,4/14/1978
40.9,1.5,1,4/15/1978
36,0.4,1,4/16/1978
36,0.4,1,4/17/1978
30.7,36,1,4/18/1978
44.7,0.9,1,4/19/1978
34.7,0,0,4/20/1978
30,0,0,4/21/1978
54,0,0,4/22/1978
34.7,0,0,4/23/1978
29,0,0,4/24/1978
30,0.2,1,4/25/1978
44.7,17.6,1,4/26/1978
47.3,0,0,4/27/1978
40.9,0,0,4/28/1978
37.2,23.8,1,4/29/1978
42.8,18.7,1,4/30/1978
51.9,1.2,1,5/01/1978
39.7,5.9,1,5/02/1978
46,0,0,5/03/1978
42.2,0,0,5/04/1978
40.9,49.4,1,5/05/1978
101,3.8,1,5/06/1978
52.6,21.1,1,5/07/1978
34.4,0.6,1,5/08/1978
34.7,0,0,5/09/1978
36.6,0,0,5/10/1978
34.7,2.5,1,5/11/1978
32.3,37.6,1,5/12/1978
76.6,33.3,1,5/13/1978
62.3,20,1,5/14/1978
58.1,10.9,1,5/15/1978
46.7,25.1,1,5/16/1978
48.8,9.5,1,5/17/1978
