TIME,TEMP,HUMD,RAIN_FALL
1/01/1979,23,86,0.5
2/01/1979,24.1,80,0
3/01/1979,23.2,88,0.8
4/01/1979,23.7,82,0.1
5/01/1979,23.4,81,0
6/01/1979,22.9,82,0
7/01/1979,22.7,84,0
8/01/1979,22.4,82,0
9/01/1979,22.6,85,0
10/01/1979,22.9,86,0
11/01/1979,23.6,84,0
12/01/1979,23.4,86,0
13/01/1979,23.6,84,0
14/01/1979,23.6,82,0
15/01/1979,22.7,84,0.3
16/01/1979,22.7,82,0.7
17/01/1979,22.5,87,3.7
18/01/1979,22.4,85,0
19/01/1979,22.4,84,0
20/01/1979,21.4,86,0
21/01/1979,21.6,91,0
22/01/1979,23.1,86,0.2
23/01/1979,23.3,86,0
24/01/1979,23.5,87,0.4
25/01/1979,23.8,83,0
26/01/1979,23.2,82,0.3
27/01/1979,22.8,86,0
28/01/1979,23.6,86,0
29/01/1979,23.6,88,0
30/01/1979,24.1,90,0
31/01/1979,21,88,21.2
1/02/1979,18.4,74,0
2/02/1979,19,81,0
3/02/1979,20.5,85,0
4/02/1979,23,82,0
5/02/1979,23.4,84,0
6/02/1979,21.9,85,1.2
7/02/1979,22.3,84,0
8/02/1979,22,86,0
9/02/1979,22.6,82,0
10/02/1979,22,84,0
11/02/1979,22.5,84,0
12/02/1979,24.3,83,0
13/02/1979,25.1,88,0
14/02/1979,23.9,92,0
15/02/1979,24.2,87,0
16/02/1979,23.4,78,2.7
17/02/1979,22.2,78,0
18/02/1979,22,79,0
19/02/1979,22,83,0
20/02/1979,23.7,86,0
21/02/1979,25.5,85,0
22/02/1979,26,86,0
23/02/1979,26.2,84,0
24/02/1979,27.4,76,0
25/02/1979,25,80,0
26/02/1979,24.4,92,0
27/02/1979,24.9,86,0
28/02/1979,23.4,86,0
1/03/1979,22.9,82,0.2
2/03/1979,23.2,81,0
3/03/1979,24,83,0
4/03/1979,24.8,85,0.5
5/03/1979,24.7,84,0
6/03/1979,25.1,83,0
7/03/1979,24.8,86,0
8/03/1979,25.2,88,0
9/03/1979,25.3,89,0
10/03/1979,25.7,88,0
11/03/1979,25.9,88,0
12/03/1979,26.6,86,0.1
13/03/1979,27,81,0
14/03/1979,26,88,0
15/03/1979,23.4,91,1
16/03/1979,25.4,84,0
17/03/1979,24.7,87,0
18/03/1979,24.7,85,0
19/03/1979,26,82,0
20/03/1979,24.8,86,0
21/03/1979,24.4,83,0
22/03/1979,26.3,82,0
23/03/1979,26,85,0
24/03/1979,25.1,81,0
25/03/1979,24.7,77,0
26/03/1979,24.5,86,0
27/03/1979,25.6,83,0
28/03/1979,26.6,82,0
29/03/1979,26.4,87,0
30/03/1979,27.7,82,0
31/03/1979,26.9,86,0
1/04/1979,26.9,86,0
2/04/1979,27.1,84,0
3/04/1979,26.2,80,0
4/04/1979,23.8,74,0
5/04/1979,23.2,79,0
6/04/1979,26.2,81,0
7/04/1979,26.9,84,0
8/04/1979,26.1,88,0
9/04/1979,26.4,86,0
10/04/1979,27,86,0
11/04/1979,27.3,79,0
12/04/1979,27.3,81,0
13/04/1979,27.8,85,0
14/04/1979,27.2,79,0
15/04/1979,26.6,80,0
16/04/1979,27.2,82,0
17/04/1979,28.2,81,0
18/04/1979,27.4,84,0
19/04/1979,28.3,77,0
20/04/1979,25.1,87,3.4
21/04/1979,25.6,84,0
22/04/1979,27.5,81,0
23/04/1979,28,84,0
24/04/1979,27.8,85,0
25/04/1979,28.4,80,0
26/04/1979,28.6,80,0
27/04/1979,29,80,0
28/04/1979,28.3,80,6
29/04/1979,27.1,85,0
30/04/1979,27.4,84,3.8
1/05/1979,27,83,1.4
2/05/1979,26.2,86,11.3
3/05/1979,26.1,87,1.6
4/05/1979,27.4,84,0
5/05/1979,28.1,77,0
6/05/1979,28.8,80,0
7/05/1979,27.8,80,0
8/05/1979,28.6,79,0
9/05/1979,29,78,0
10/05/1979,28.7,79,0
11/05/1979,27.7,80,1.6
12/05/1979,28,80,0.1
13/05/1979,29.7,77,0
14/05/1979,30.8,68,2.2
